id,irrigation_area_code,irrigation_area_name,zone_id,zone_name,land_area,surface_water_available,groundwater_available,iwue,water_productivity_kg_m3,benefit_yuan_per_m3,irrigation_reliability,field_efficiency,surface_water_utilization,groundwater_utilization,groundwater_dependency,min_area,max_area,sort_order,status,remark,created_at,updated_at
1,chahayang,查哈阳灌区,Z01,红河,2865.0200,36259380.0000,4696734.0000,0.7400,3.4500,15.5000,0.9800,0.9700,0.9000,0.1400,0.0800,2148.7650,2865.0200,1,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
2,chahayang,查哈阳灌区,Z02,万发,3135.4700,39296070.0000,4873331.0000,0.6000,2.7000,11.5000,0.9000,0.9000,0.7200,0.2800,0.2200,2351.6025,3135.4700,2,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
3,chahayang,查哈阳灌区,Z03,金光,3398.0800,41055570.0000,5091537.0000,0.5800,2.6500,10.9000,0.8700,0.8900,0.7000,0.3000,0.2500,2548.5600,3398.0800,3,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
4,chahayang,查哈阳灌区,Z04,稻花香,3550.2100,30910780.0000,3833423.0000,0.5600,2.4500,10.2000,0.8500,0.8700,0.6800,0.3200,0.2800,2662.6575,3550.2100,4,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
5,chahayang,查哈阳灌区,Z05,发展,2672.9600,44974950.0000,5877602.0000,0.5400,2.3000,9.6000,0.8200,0.8500,0.6500,0.3500,0.3000,2004.7200,2672.9600,5,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
6,chahayang,查哈阳灌区,Z06,金星,3212.8900,39945480.0000,5253868.0000,0.5200,2.1500,8.8000,0.7800,0.8300,0.6000,0.4000,0.3500,2409.6675,3212.8900,6,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
7,chahayang,查哈阳灌区,Z07,太平湖,1761.6700,43645990.0000,5412790.0000,0.5000,2.0500,8.2000,0.7300,0.8000,0.5500,0.4500,0.4000,1321.2525,1761.6700,7,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
8,chahayang,查哈阳灌区,Z08,海洋,3889.1500,64301350.0000,8974380.0000,0.7400,3.4200,15.1000,0.9700,0.9600,0.9200,0.1200,0.0600,2916.8625,3889.1500,8,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
9,chahayang,查哈阳灌区,Z09,新立,3454.2300,19992150.0000,2979341.0000,0.5500,2.3800,9.9000,0.8000,0.8600,0.6200,0.3800,0.3300,2590.6725,3454.2300,9,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
10,chahayang,查哈阳灌区,Z10,丰收,3774.2300,37951930.0000,4006637.0000,0.5800,2.5500,10.6000,0.8600,0.8800,0.6800,0.3200,0.2700,2830.6725,3774.2300,10,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
11,chahayang,查哈阳灌区,Z11,二十八方,5560.3700,26396760.0000,3273614.0000,0.4200,1.5500,5.0000,0.5000,0.6800,0.3200,0.6800,0.6500,4170.2775,5560.3700,11,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
12,chahayang,查哈阳灌区,Z12,联合,1795.0900,42364060.0000,1153810.0000,0.4000,1.4500,4.5000,0.4500,0.6500,0.2800,0.7200,0.7000,1346.3175,1795.0900,12,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
13,chahayang,查哈阳灌区,Z13,金边,2139.5200,7026099.0000,871347.0000,0.3800,1.3000,3.8000,0.4000,0.6200,0.2200,0.7800,0.7600,1604.6400,2139.5200,13,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
14,chahayang,查哈阳灌区,Z14,长吉岗,5459.9700,33879440.0000,6701584.0000,0.3500,1.2000,3.2000,0.3500,0.5800,0.1800,0.8200,0.8200,4094.9775,5459.9700,14,0,默认14分区,2026-07-19 13:43:38.993333,2026-07-20 09:19:50.006106
